,White,Red,Green,Blue
Model,PR-650,PR-650,PR-650,PR-650
671,2.020e-03,2.340e-03,6.815e-05,8.472e-06
672,1.961e-03,2.268e-03,6.656e-05,1.339e-05
673,1.906e-03,2.198e-03,6.425e-05,2.334e-05
674,1.854e-03,2.130e-03,6.121e-05,3.842e-05
675,1.805e-03,2.064e-03,5.948e-05,5.153e-05
676,1.758e-03,2.003e-03,6.095e-05,5.586e-05
677,1.712e-03,1.946e-03,6.572e-05,5.083e-05
678,1.668e-03,1.893e-03,7.367e-05,3.649e-05
679,1.624e-03,1.842e-03,8.210e-05,2.198e-05
680,1.579e-03,1.789e-03,8.826e-05,1.643e-05
681,1.533e-03,1.735e-03,9.202e-05,2.006e-05
682,1.485e-03,1.681e-03,9.341e-05,3.249e-05
683,1.439e-03,1.628e-03,9.344e-05,4.585e-05
684,1.397e-03,1.579e-03,9.323e-05,5.211e-05
685,1.358e-03,1.535e-03,9.272e-05,5.129e-05
686,1.323e-03,1.495e-03,9.185e-05,4.386e-05
687,1.292e-03,1.458e-03,9.083e-05,3.384e-05
688,1.268e-03,1.423e-03,8.985e-05,2.554e-05
689,1.250e-03,1.390e-03,8.903e-05,1.884e-05
690,1.238e-03,1.358e-03,8.846e-05,1.350e-05
691,1.225e-03,1.327e-03,8.784e-05,1.054e-05
692,1.203e-03,1.292e-03,8.688e-05,1.070e-05
693,1.173e-03,1.254e-03,8.560e-05,1.425e-05
694,1.133e-03,1.213e-03,8.403e-05,2.122e-05
695,1.093e-03,1.173e-03,8.275e-05,2.785e-05
696,1.058e-03,1.138e-03,8.232e-05,3.043e-05
697,1.030e-03,1.108e-03,8.277e-05,2.875e-05
698,1.007e-03,1.083e-03,8.410e-05,2.290e-05
699,9.863e-04,1.057e-03,8.558e-05,1.603e-05
700,9.610e-04,1.027e-03,8.647e-05,1.139e-05
701,9.318e-04,9.911e-04,8.671e-05,9.054e-06
702,8.989e-04,9.500e-04,8.626e-05,8.950e-06
703,8.665e-04,9.105e-04,8.600e-05,9.808e-06
704,8.385e-04,8.791e-04,8.678e-05,1.026e-05
705,8.147e-04,8.560e-04,8.859e-05,1.033e-05
706,7.946e-04,8.407e-04,9.134e-05,1.007e-05
707,7.771e-04,8.274e-04,9.372e-05,1.037e-05
708,7.608e-04,8.100e-04,9.445e-05,1.210e-05
709,7.460e-04,7.884e-04,9.341e-05,1.530e-05
710,7.330e-04,7.629e-04,9.060e-05,1.991e-05
711,7.156e-04,7.347e-04,8.722e-05,2.381e-05
712,6.878e-04,7.054e-04,8.449e-05,2.496e-05
713,6.490e-04,6.749e-04,8.253e-05,2.327e-05
714,5.991e-04,6.430e-04,8.140e-05,1.886e-05
715,5.526e-04,6.125e-04,7.944e-05,1.463e-05
716,5.237e-04,5.857e-04,7.506e-05,1.348e-05
717,5.139e-04,5.630e-04,6.827e-05,1.540e-05
718,5.235e-04,5.444e-04,5.925e-05,2.016e-05
719,5.306e-04,5.275e-04,5.091e-05,2.630e-05
720,5.137e-04,5.098e-04,4.615e-05,3.219e-05
721,4.715e-04,4.913e-04,4.507e-05,3.799e-05
722,4.043e-04,4.721e-04,4.755e-05,4.387e-05
723,3.452e-04,4.530e-04,5.130e-05,4.736e-05
724,3.268e-04,4.350e-04,5.391e-05,4.626e-05
725,3.502e-04,4.181e-04,5.538e-05,4.025e-05
726,4.139e-04,4.023e-04,5.581e-05,2.930e-05
727,4.763e-04,3.870e-04,5.530e-05,1.993e-05
728,4.961e-04,3.719e-04,5.412e-05,1.845e-05
729,4.719e-04,3.569e-04,5.202e-05,2.508e-05
730,4.054e-04,3.422e-04,4.882e-05,3.950e-05
731,3.310e-04,3.287e-04,4.647e-05,5.430e-05
732,2.840e-04,3.172e-04,4.677e-05,6.199e-05
733,2.650e-04,3.078e-04,4.987e-05,6.243e-05
734,2.726e-04,3.002e-04,5.574e-05,5.595e-05
735,2.892e-04,2.943e-04,6.046e-05,4.599e-05
736,2.959e-04,2.895e-04,6.020e-05,3.637e-05
737,2.932e-04,2.859e-04,5.510e-05,2.706e-05
738,2.820e-04,2.834e-04,4.567e-05,1.806e-05
739,2.697e-04,2.803e-04,3.505e-05,1.040e-05
740,2.637e-04,2.750e-04,2.662e-05,4.987e-06
741,2.635e-04,2.673e-04,2.016e-05,2.206e-06
742,2.682e-04,2.572e-04,1.530e-05,2.277e-06
743,2.734e-04,2.477e-04,1.635e-05,3.778e-06
744,2.744e-04,2.419e-04,2.700e-05,5.238e-06
745,2.713e-04,2.398e-04,4.772e-05,6.471e-06
746,2.643e-04,2.411e-04,7.833e-05,7.318e-06
747,2.550e-04,2.440e-04,1.056e-04,9.514e-06
748,2.448e-04,2.465e-04,1.167e-04,1.468e-05
749,2.338e-04,2.485e-04,1.108e-04,2.302e-05
750,2.221e-04,2.499e-04,8.830e-05,3.461e-05
751,2.116e-04,2.501e-04,6.374e-05,4.411e-05
752,2.044e-04,2.482e-04,5.194e-05,4.649e-05
753,2.006e-04,2.442e-04,5.325e-05,4.121e-05
754,2.002e-04,2.379e-04,6.716e-05,2.819e-05
755,2.012e-04,2.306e-04,8.387e-05,1.808e-05
756,2.016e-04,2.234e-04,9.322e-05,2.119e-05
757,2.015e-04,2.164e-04,9.529e-05,3.779e-05
758,2.011e-04,2.097e-04,9.059e-05,6.722e-05
759,1.987e-04,2.029e-04,8.342e-05,9.582e-05
760,1.929e-04,1.957e-04,7.840e-05,1.099e-04
761,1.836e-04,1.884e-04,7.547e-05,1.091e-04
762,1.707e-04,1.811e-04,7.451e-05,9.412e-05
763,1.596e-04,1.731e-04,7.377e-05,7.299e-05
764,1.555e-04,1.634e-04,7.151e-05,5.446e-05
765,1.588e-04,1.522e-04,6.774e-05,3.865e-05
766,1.695e-04,1.397e-04,6.255e-05,2.554e-05
767,1.810e-04,1.292e-04,5.934e-05,1.530e-05
768,1.869e-04,1.238e-04,6.133e-05,7.777e-06
769,1.868e-04,1.234e-04,6.847e-05,3.554e-06
770,1.806e-04,1.277e-04,8.034e-05,2.981e-06
771,1.748e-04,1.359e-04,9.196e-05,5.006e-06
772,1.761e-04,1.470e-04,9.830e-05,8.457e-06
773,1.840e-04,1.607e-04,9.920e-05,1.325e-05
774,1.975e-04,1.766e-04,9.486e-05,1.928e-05
775,2.101e-04,1.900e-04,8.632e-05,2.590e-05
776,2.146e-04,1.966e-04,7.497e-05,3.252e-05
777,2.098e-04,1.959e-04,6.167e-05,3.901e-05
778,1.946e-04,1.880e-04,4.760e-05,4.534e-05
779,1.734e-04,1.756e-04,3.247e-05,5.151e-05
780,1.507e-04,1.615e-04,1.647e-05,5.762e-05
