signal,r,g,b
0.694117647,2.65E-05,1.11E-05,1.05E-05
0.698039216,4.22E-05,1.00E-05,8.39E-06
0.701960784,8.35E-05,9.80E-06,6.63E-06
0.705882353,1.54E-05,1.03E-05,6.53E-06
0.709803922,3.30E-05,9.47E-06,4.79E-06
0.71372549,1.04E-05,7.04E-06,5.06E-06
0.717647059,7.60E-06,7.78E-06,4.60E-06
0.721568627,7.61E-06,8.78E-06,3.58E-06
0.725490196,9.99E-06,8.18E-06,3.86E-06
0.729411765,9.75E-06,8.87E-06,2.95E-06
0.733333333,9.71E-06,7.66E-06,3.60E-06
0.737254902,7.35E-06,8.34E-06,3.27E-06
0.741176471,1.06E-05,6.42E-06,3.53E-06
0.745098039,8.27E-06,4.50E-06,3.08E-06
0.749019608,8.92E-06,3.75E-06,2.64E-06
0.752941176,9.39E-06,3.34E-06,3.03E-06
0.756862745,7.15E-06,3.12E-06,1.93E-06
0.760784314,7.77E-06,3.13E-06,3.13E-06
0.764705882,4.01E-06,3.13E-06,1.91E-06
0.768627451,5.17E-06,3.10E-06,4.08E-06
0.77254902,4.65E-06,3.48E-06,2.36E-06
0.776470588,3.43E-06,6.01E-06,1.88E-06
0.780392157,6.58E-06,6.20E-06,4.56E-06
0.784313725,6.32E-06,4.00E-06,2.15E-06
0.788235294,3.12E-06,4.70E-06,5.48E-06
0.792156863,2.46E-06,5.32E-06,2.12E-06
0.796078431,3.07E-06,3.65E-06,3.94E-06
0.8,3.19E-06,1.36E-06,4.96E-06
0.803921569,2.34E-06,4.82E-07,2.76E-06
0.807843137,1.40E-06,2.58E-07,2.34E-06
0.811764706,2.29E-06,6.89E-08,3.96E-07
0.815686275,8.09E-07,6.89E-08,6.37E-07
0.819607843,3.79E-07,0,2.07E-07
0.823529412,2.93E-07,0,2.24E-07
0.82745098,5.17E-08,0,1.55E-07
0.831372549,1.72E-08,0,1.55E-07
0.835294118,3.44E-08,0,3.44E-08
0.839215686,0,0,6.89E-08
0.843137255,0,0,3.44E-08
0.847058824,0,0,5.17E-08
0.850980392,0,0,1.72E-08
0.854901961,0,0,0
0.858823529,0,0,0
0.862745098,0,0,5.17E-08
0.866666667,0,0,0
0.870588235,0,0,0
0.874509804,0,0,0
0.878431373,0,0,0
0.882352941,0,0,0
0.88627451,0,0,0
0.890196078,0,0,0
0.894117647,0,0,0
0.898039216,0,0,3.44E-08
0.901960784,0,0,0
0.905882353,0,0,0
0.909803922,0,0,0
0.91372549,0,0,0
0.917647059,0,0,0
0.921568627,0,0,0
0.925490196,0,0,0
0.929411765,0,0,0
0.933333333,0,0,0
0.937254902,0,0,0
0.941176471,0,0,0
0.945098039,0,0,0
0.949019608,0,0,0
0.952941176,0,0,0
0.956862745,0,0,0
0.960784314,0,0,0
0.964705882,0,0,0
0.968627451,0,0,0
0.97254902,0,0,0
0.976470588,0,0,0
0.980392157,0,0,0
0.984313725,0,0,0
0.988235294,0,0,0
0.992156863,0,0,0
0.996078431,0,0,0
1,0,0,0
