seconds,APL',R,G,B
431,56.0,33.7,31.3,24.3
432,56.2,33.6,31.8,24.7
433,53.5,29.9,28.2,21.3
434,51.8,27.9,26.6,19.4
435,54.8,32.5,30.7,24.0
436,51.9,30.2,27.7,21.1
437,52.5,30.0,27.1,20.6
438,51.8,29.8,27.6,25.0
439,53.4,32.2,30.4,28.3
440,53.7,32.6,30.9,28.9
441,53.1,26.7,29.7,32.9
442,54.1,28.2,31.1,34.0
443,54.5,28.7,31.5,34.2
444,55.0,45.8,24.2,12.7
445,54.1,52.2,20.2,13.8
446,49.7,50.5,16.4,12.8
447,50.1,24.5,26.5,20.4
448,53.9,29.3,31.1,25.3
449,53.8,29.7,31.7,26.4
450,56.0,33.6,35.1,31.8
451,52.2,37.8,33.0,36.7
452,50.3,24.9,22.1,19.1
453,51.1,25.7,23.6,21.2
454,50.9,19.6,22.2,23.0
455,51.2,19.6,22.2,24.2
456,52.0,19.0,23.0,27.8
457,47.7,49.4,27.0,11.8
458,52.1,55.0,31.4,14.2
459,49.1,24.3,21.7,19.5
460,50.2,25.5,23.4,21.1
461,48.7,24.6,22.0,18.9
462,50.8,27.7,25.9,24.0
463,48.6,24.6,21.8,19.5
464,49.4,25.9,23.5,21.5
465,48.2,34.4,32.2,37.1
466,49.4,35.8,33.5,39.0
467,48.0,22.7,21.0,19.8
468,49.4,11.1,21.2,32.0
469,48.2,10.5,20.0,29.9
470,48.3,26.8,20.1,12.4
471,47.8,27.1,20.3,12.3
472,45.5,24.9,18.4,11.6
473,44.6,22.8,17.3,11.3
474,51.8,26.9,30.1,25.0
475,47.9,22.8,26.1,21.4
476,47.1,20.9,24.6,20.3
477,45.3,19.4,23.0,20.2
478,46.8,22.3,21.4,26.2
479,43.5,26.0,19.1,3.4
480,45.9,29.7,21.9,3.7
481,47.6,32.8,24.7,4.0
482,47.4,19.0,21.3,26.9
483,45.8,21.3,19.6,16.2
484,47.2,22.3,20.6,16.8
485,48.4,23.4,21.5,17.5
486,45.4,23.9,19.5,16.1
487,44.2,22.2,18.3,15.1
488,46.9,25.3,21.5,18.3
489,46.0,11.0,17.3,24.9
490,45.6,10.8,17.0,25.1
491,45.1,10.4,16.6,24.9
492,42.8,9.8,14.8,21.3
493,43.3,18.7,16.4,16.3
494,45.7,20.7,18.5,18.4
495,47.6,22.1,20.1,20.3
496,43.6,13.1,14.6,19.7
497,46.6,22.1,20.6,23.3
498,44.7,19.5,16.5,14.2
499,44.1,19.5,16.8,15.5
500,46.9,16.5,19.5,25.1
501,42.2,13.1,15.8,18.6
502,42.3,19.3,14.2,5.1
503,45.6,23.5,19.0,9.7
504,44.5,21.9,17.2,7.8
505,42.3,19.4,14.0,4.9
506,44.6,30.7,18.0,11.4
