seconds,APL',R,G,B
241,25.6,27.7,24.3,31.5
242,28.2,24.9,20.0,17.8
243,25.0,26.8,23.4,30.5
244,36.0,47.9,41.0,38.3
245,32.6,36.3,28.7,27.9
246,24.9,26.1,22.8,30.4
247,24.8,25.6,22.7,30.7
248,24.7,25.4,22.4,30.4
249,24.6,24.8,21.9,29.9
250,37.7,43.2,40.3,37.5
251,38.0,42.5,39.7,37.7
252,38.0,42.8,39.9,38.1
253,37.9,44.1,40.9,38.6
254,37.5,41.1,38.7,36.7
255,32.3,39.7,31.3,29.7
256,32.5,39.8,31.6,29.6
257,32.1,39.4,31.1,29.4
258,38.9,44.4,39.3,39.8
259,38.8,43.7,38.9,40.5
260,39.8,45.8,40.6,41.4
261,40.5,47.4,42.3,42.1
262,38.9,43.7,38.8,39.4
263,39.5,38.1,35.0,41.8
264,39.5,38.5,35.0,40.9
265,39.3,38.2,34.4,40.0
266,40.4,40.7,36.7,42.1
267,40.2,39.7,36.6,42.3
268,32.0,38.9,30.9,29.6
269,32.0,38.8,30.8,29.6
270,32.1,39.0,31.0,29.8
271,32.0,38.8,30.7,29.4
272,32.1,39.0,31.0,29.6
273,32.1,38.9,31.0,29.8
274,32.1,39.1,31.0,29.6
275,32.4,39.6,31.3,29.3
276,32.1,39.3,31.1,29.8
277,32.1,39.3,31.0,29.5
278,32.2,39.2,31.1,29.4
279,28.8,35.9,22.1,22.5
280,31.3,33.8,24.7,32.4
281,38.9,42.8,39.0,41.1
282,38.8,42.8,38.8,40.9
283,38.6,42.9,38.7,40.7
284,38.7,42.6,38.5,40.4
285,38.6,42.7,38.5,40.5
286,39.2,43.9,39.5,41.2
287,32.2,39.2,31.2,29.9
288,32.4,39.3,31.4,30.0
289,32.5,39.7,31.6,30.1
290,38.6,38.7,31.6,31.0
291,37.7,35.3,29.4,28.9
292,38.7,38.1,31.5,30.5
293,40.5,47.0,42.7,42.9
294,38.9,44.7,39.9,40.3
295,38.8,43.9,39.4,40.0
296,33.8,45.4,34.1,21.4
297,33.6,44.3,33.3,20.7
298,39.3,45.5,40.7,40.6
299,39.5,46.0,41.3,41.6
